LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
201,3614,100000,24,16,19,18.8,12.0,10.3,15.1,"£45,884"
202,2000,136807,8,6,3,6.8,3.8,2.6,15.4,"£46,368"
202,2001,139837,9,9,2,8.7,8.2,1.7,14.0,"£42,130"
202,2002,140686,10,17,3,10.0,14.2,2.6,20.1,"£42,484"
202,2019,100008,21,14,7,20.1,12.4,6.1,18.2,"£44,201"
202,2036,100009,26,19,3,25.4,16.3,3.0,17.3,"£46,111"
202,2065,100010,23,18,9,21.2,15.0,8.0,18.2,"£42,914"
202,2078,100011,22,16,11,19.4,14.0,6.5,21.7,"£41,728"
202,2095,100012,19,29,6,18.3,20.1,5.4,18.1,"£46,246"
202,2184,100013,14,13,4,13.7,11.2,4.0,14.6,"£44,582"
202,2219,100014,13,14,3,11.2,11.4,3.0,20.3,"£45,783"
202,2290,100015,10,10,7,9.5,5.7,5.2,17.9,"£45,133"
202,2436,100018,29,22,15,27.9,18.4,12.9,15.3,"£43,167"
202,2438,100019,23,20,6,20.7,13.5,6.0,19.7,"£46,967"
202,2475,100020,25,29,9,19.7,25.9,7.9,23.3,"£44,279"
202,2502,100021,26,32,12,23.9,24.8,9.5,16.9,"£46,747"
202,2507,100022,29,18,9,27.7,14.7,9.0,15.3,"£49,960"
202,2603,100023,24,27,8,22.7,21.5,7.8,19.5,"£47,104"
202,2775,100025,23,28,14,20.9,20.3,11.2,22.3,"£48,067"
202,2797,100026,11,15,2,10.0,12.8,2.0,22.8,"£47,370"
202,2841,100027,16,16,5,13.3,11.8,3.7,17.7,"£45,854"
202,2842,130342,13,21,5,11.0,14.8,3.3,20.5,"£46,458"
202,2843,132245,36,17,7,34.7,16.0,7.0,18.7,"£42,057"
202,3323,100028,11,7,3,10.3,5.8,2.3,18.6,"£40,371"
202,3327,100029,12,14,4,11.6,11.6,3.3,19.4,"£42,799"
202,3340,100030,16,12,5,14.1,11.8,4.5,18.9,"£40,719"
202,3352,100031,11,10,5,11.0,7.5,4.3,20.8,"£40,128"
202,3359,100032,12,21,3,9.9,11.7,3.0,18.5,"£40,033"
202,3361,100033,13,10,2,12.0,8.0,2.0,17.1,"£40,639"
202,3370,100034,17,32,3,15.1,20.8,2.9,15.6,"£43,518"
202,3391,100035,18,15,5,15.0,9.9,4.0,22.2,"£47,843"
202,3398,100036,11,17,3,10.6,13.3,3.0,19.4,"£45,775"
202,3400,100037,18,6,2,17.4,6.0,2.0,18.6,"£41,940"
202,3429,100039,19,7,7,18.5,5.8,6.8,13.6,"£42,750"
202,3441,100040,12,11,3,11.8,11.0,2.8,18.6,"£46,394"
202,3482,100041,13,9,4,11.9,7.9,4.0,17.7,"£41,046"
202,3517,100042,12,8,4,11.4,7.7,4.0,20.0,"£42,998"
202,3521,100043,15,13,4,13.6,12.8,4.0,16.8,"£43,095"
202,3546,100044,9,9,2,9.0,7.4,2.0,19.2,"£44,220"
202,3560,100045,11,10,5,8.9,9.0,3.8,25.1,"£46,553"
