,School_type,Local_Ed_Auth,Estab_group,School_ID,Is_Closed,School_type_2,Rel_Denom,Selective_School,School_gender,School_feeder_sixth_form,School_primary,School_sixth_form,Num_pupils_GCSEs,Pct_Boys,DISAD_pct_GCSEpup,Prog8_overall_measure,Num_GCSEpup_all_Ebacc,Pct_GCSEpup_enter_Ebacc_Maths,Pct_GCSEpup_enter_Ebacc_Science,Pct_GCSEpup_enter_Ebacc_Humanities,Pct_GCSEpup_enter_Ebacc_Lang,Pct_GCSEpup_any_qual,Pct_GCSEpup_more_onelang,Pct_GCSEpup_3_sciences,Avg_num_GCSEs_equiv_pup,Prog8_band,Teachers_FTE,TAs_FTE,Staff_non_classroom,Pupil_Teacher_ratio,Mean_Gross_FTE_Sal
0,0,202.0,4104.0,100049.0,0.0,CY,Does not apply,OTHER NON SEL,MIXED,0.0,0.0,1.0,197.0,58.0,61.0,-0.1,12.0,99.0,98.0,64.0,29.0,99.0,5.0,17.0,7.3,3.0,81.1,22.0,23.0,13.0,43950.0
1,0,202.0,4166.0,100050.0,0.0,CY,Does not apply,OTHER NON SEL,GIRLS,1.0,0.0,1.0,168.0,0.0,45.0,0.65,61.0,100.0,98.0,85.0,69.0,100.0,8.0,33.0,8.5,1.0,83.5,7.7,25.0,13.4,44418.0
2,0,202.0,4196.0,100051.0,0.0,CY,Does not apply,OTHER NON SEL,MIXED,0.0,0.0,1.0,133.0,50.0,68.0,-0.26,30.0,98.0,97.0,89.0,32.0,99.0,2.0,20.0,7.8,4.0,63.0,12.0,29.3,14.8,43044.0
3,0,202.0,4275.0,100052.0,0.0,CY,Does not apply,OTHER NON SEL,MIXED,0.0,0.0,1.0,184.0,56.0,49.0,-0.08,55.0,97.0,97.0,89.0,57.0,98.0,9.0,22.0,9.2,3.0,90.5,16.0,20.9,13.8,45409.0
4,0,202.0,4285.0,100053.0,0.0,CY,Does not apply,OTHER NON SEL,MIXED,1.0,0.0,1.0,161.0,70.0,52.0,-0.04,55.0,99.0,99.0,88.0,59.0,99.0,4.0,24.0,7.8,3.0,78.7,25.8,26.2,12.1,45050.0
5,0,202.0,4652.0,100055.0,0.0,VA,Roman Catholic,OTHER NON SEL,MIXED,0.0,0.0,1.0,93.0,31.0,44.0,-0.28,44.0,100.0,100.0,88.0,44.0,100.0,8.0,25.0,7.9,4.0,48.2,13.0,20.3,14.3,47055.0
6,0,202.0,5401.0,100059.0,0.0,VA,Roman Catholic,OTHER NON SEL,GIRLS,1.0,0.0,1.0,174.0,0.0,36.0,0.65,50.0,100.0,100.0,52.0,93.0,100.0,8.0,28.0,8.4,1.0,73.9,9.3,20.7,14.7,49002.0
7,0,203.0,4001.0,138245.0,0.0,F,None,OTHER NON SEL,MIXED,0.0,0.0,0.0,88.0,58.0,30.0,0.28,48.0,100.0,100.0,97.0,49.0,100.0,2.0,66.0,8.6,2.0,34.0,6.9,13.9,15.4,39440.0
8,0,203.0,4130.0,100183.0,0.0,CY,Does not apply,OTHER NON SEL,MIXED,0.0,0.0,1.0,232.0,0.0,47.0,-0.18,40.0,96.0,95.0,78.0,47.0,96.0,6.0,16.0,8.2,3.0,96.0,25.3,33.4,14.6,43638.0
9,0,203.0,4243.0,137473.0,1.0,ACC,Does not apply,OTHER NON SEL,MIXED,0.0,0.0,1.0,164.0,59.0,50.0,-1.11,55.0,96.0,88.0,77.0,62.0,97.0,9.0,16.0,7.4,5.0,69.9,29.1,33.1,15.7,44985.0
10,0,203.0,4271.0,141309.0,0.0,ACC,Does not apply,OTHER NON SEL,MIXED,0.0,0.0,1.0,263.0,63.0,36.0,-0.66,60.0,97.0,93.0,89.0,64.0,97.0,3.0,23.0,8.8,5.0,99.8,30.1,29.1,16.5,44809.0
